Ammolite_Actions-actions;Ammolite_Actions-time;Ammolite_Actions-usage;Ammolite_Active-actions;Ammolite_Active-time;Ammolite_Active-usage;Ammolite_Application-actions;Ammolite_Application-time;Ammolite_Application-usage;Ammolite_Breakpoint-actions;Ammolite_Breakpoint-time;Ammolite_Breakpoint-usage;Ammolite_Browser-actions;Ammolite_Browser-time;Ammolite_Browser-usage;Ammolite_Condition;Ammolite_Debugger-actions;Ammolite_Debugger-time;Ammolite_Debugger-usage;Ammolite_External_Window-actions;Ammolite_External_Window-time;Ammolite_External_Window-usage;Ammolite_Implementors-actions;Ammolite_Implementors-time;Ammolite_Implementors-usage;Ammolite_Inspector-actions;Ammolite_Inspector-time;Ammolite_Inspector-usage;Ammolite_Methods-actions;Ammolite_Methods-time;Ammolite_Methods-usage;Ammolite_References-actions;Ammolite_References-time;Ammolite_References-usage;Ammolite_Senders-actions;Ammolite_Senders-time;Ammolite_Senders-usage;Ammolite_Spotter-actions;Ammolite_Spotter-time;Ammolite_Spotter-usage;Ammolite_Transcript-actions;Ammolite_Transcript-time;Ammolite_Transcript-usage;Ammolite_Unknown_Window-actions;Ammolite_Unknown_Window-time;Ammolite_Unknown_Window-usage;Ammolite_Users-actions;Ammolite_Users-time;Ammolite_Users-usage;Ammolite_Writers-actions;Ammolite_Writers-time;Ammolite_Writers-usage;Lights_Out_Active-actions;Lights_Out_Active-time;Lights_Out_Active-usage;Lights_Out_Application-actions;Lights_Out_Application-time;Lights_Out_Application-usage;Lights_Out_Breakpoint-actions;Lights_Out_Breakpoint-time;Lights_Out_Breakpoint-usage;Lights_Out_Browser-actions;Lights_Out_Browser-time;Lights_Out_Browser-usage;Lights_Out_Condition;Lights_Out_Debugger-actions;Lights_Out_Debugger-time;Lights_Out_Debugger-usage;Lights_Out_External_Window-actions;Lights_Out_External_Window-time;Lights_Out_External_Window-usage;Lights_Out_Implementors-actions;Lights_Out_Implementors-time;Lights_Out_Implementors-usage;Lights_Out_Inspector-actions;Lights_Out_Inspector-time;Lights_Out_Inspector-usage;Lights_Out_Methods-actions;Lights_Out_Methods-time;Lights_Out_Methods-usage;Lights_Out_References-actions;Lights_Out_References-time;Lights_Out_References-usage;Lights_Out_Senders-actions;Lights_Out_Senders-time;Lights_Out_Senders-usage;Lights_Out_Spotter-actions;Lights_Out_Spotter-time;Lights_Out_Spotter-usage;Lights_Out_Transcript-actions;Lights_Out_Transcript-time;Lights_Out_Transcript-usage;Lights_Out_Unknown_Window-actions;Lights_Out_Unknown_Window-time;Lights_Out_Unknown_Window-usage;Lights_Out_Users-actions;Lights_Out_Users-time;Lights_Out_Users-usage;Lights_Out_Writers-actions;Lights_Out_Writers-time;Lights_Out_Writers-usage
;;;;;;0;159;6;;;;0;25;3;control;36;108;6;;;;0;19;4;8;222;14;0;6;1;;;;1;45;4;;;;;;;10;77;3;1;29;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;55;3;;;;0;21;5;treatment;43;166;2;0;76;1;;;;0;40;6;;;;;;;0;1;1;;;;;;;0;0;2;0;10;1;1;11;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;72;2;;;;9;361;7;control;117;389;119;0;414;2;0;43;5;0;11;10;;;;;;;0;0;2;;;;;;;8;0;2;;;;;;
;;;;;;0;162;7;2;45;1;2;66;7;treatment;59;305;65;0;23;1;;;;1;196;10;;;;;;;;;;;;;;;;9;341;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;211;2;;;;10;651;5;control;85;506;193;0;336;2;;;;0;46;15;;;;0;4;1;;;;0;1;1;;;;9;2;2;;;;;;
;;;0;2;1;0;310;3;0;22;1;7;246;3;treatment;5;106;38;0;51;2;;;;0;110;7;;;;;;;;;;0;2;2;;;;2;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;0;110;5;;;;2;83;6;control;6;52;6;;;;;;;0;89;4;;;;;;;;;;;;;;;;5;77;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;30;6;;;;6;205;13;treatment;197;419;44;0;69;1;1;73;12;2;161;15;;;;;;;1;31;4;;;;;;;10;0;3;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;161;2;;;;3;421;2;control;;;;0;146;1;0;48;3;0;100;4;;;;;;;0;2;3;0;0;1;;;;4;0;2;;;;;;
;;;;;;0;204;5;1;4;3;1;52;3;treatment;1;71;12;;;;;;;0;118;10;;;;;;;;;;0;0;2;;;;0;206;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;111;2;;;;2;225;4;control;156;629;21;0;88;1;0;52;4;0;57;4;;;;;;;2;774;5;;;;;;;5;77;3;;;;;;
;;;;;;0;310;5;0;70;4;0;16;4;treatment;99;366;25;0;587;2;1;128;6;4;255;19;;;;;;;;;;;;;;;;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;94;1;;;;11;1402;1;control;;;;;;;;;;0;86;5;;;;;;;0;6;1;;;;0;99;1;4;187;3;;;;;;
;;;;;;0;327;10;;;;5;457;10;treatment;30;290;5;0;702;1;;;;0;36;13;;;;;;;;;;;;;;;;0;16;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;333;5;;;;7;604;2;control;10;144;23;0;114;1;0;46;4;4;49;4;;;;;;;0;55;3;;;;;;;5;1;2;;;;1;78;1
;;;;;;0;275;10;2;20;1;8;166;4;treatment;4;104;23;0;151;2;;;;7;158;7;;;;;;;;;;;;;;;;1;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;0;303;9;;;;3;665;6;control;58;827;203;0;306;1;4;409;12;0;218;32;;;;0;106;1;1;66;2;;;;;;;11;0;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;18;1;;;;2;68;1;treatment;18;76;5;;;;0;15;3;0;42;4;;;;;;;;;;;;;;;;0;50;3;;;;;;
;;;;;;0;296;11;;;;2;158;4;control;352;1131;82;0;182;2;;;;3;88;8;;;;;;;;;;;;;;;;7;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;14;6;;;;1;374;18;treatment;763;3030;387;0;184;2;1;38;7;0;175;11;;;;;;;;;;;;;;;;4;2;4;;;;;;
;;;;;;0;354;5;;;;1;313;4;control;16;139;3;0;215;1;1;378;11;0;9;2;;;;;;;;;;0;3;2;;;;6;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;715;8;1;165;6;7;1136;3;treatment;182;897;41;0;55;1;0;27;6;0;175;20;;;;;;;0;3;1;0;3;1;;;;3;0;1;;;;;;
;;;;;;0;159;5;;;;6;345;5;control;55;237;10;0;143;1;0;5;1;0;127;17;;;;;;;;;;;;;0;10;1;6;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;46;2;0;33;1;0;265;5;treatment;13;106;9;;;;0;10;2;0;110;6;;;;;;;;;;0;2;1;;;;0;69;6;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;199;2;;;;0;2571;7;control;412;943;57;0;0;1;0;70;6;3;540;64;;;;;;;;;;;;;;;;5;233;2;;;;;;
;;;;;;0;172;8;1;18;2;1;121;7;treatment;22;77;8;0;396;1;0;8;2;0;289;17;;;;0;52;1;0;25;5;;;;;;;1;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;0;225;4;;;;5;183;6;control;15;109;6;;;;1;58;6;0;72;13;;;;;;;;;;;;;;;;4;116;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;553;2;0;84;3;1;64;5;treatment;4;32;4;0;130;1;0;45;2;0;143;9;;;;;;;0;1;1;0;0;2;;;;0;0;1;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;144;1;;;;1;178;3;control;;;;0;26;1;0;1;1;0;27;2;;;;;;;0;2;1;0;0;2;;;;4;0;1;;;;;;
;;;;;;0;207;6;0;17;1;1;166;4;treatment;15;87;12;0;116;1;1;87;7;0;69;11;;;;;;;;;;0;0;3;;;;2;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;136;3;;;;5;180;5;control;47;294;5;0;174;1;0;3;2;5;47;14;;;;;;;;;;0;0;2;;;;8;0;1;;;;;;
;;;;;;0;450;7;;;;1;224;9;treatment;34;219;12;0;140;1;0;2;1;0;127;19;;;;;;;0;0;1;0;0;1;;;;0;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;0;371;2;;;;0;452;5;control;6;209;35;0;207;2;;;;3;131;6;;;;;;;0;49;1;0;4;2;;;;4;1017;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;151;1;;;;0;353;2;treatment;100;937;5;;;;;;;1;380;3;;;;0;33;1;0;424;1;0;25;1;;;;0;80;5;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;75;2;;;;2;125;4;control;65;358;10;;;;0;29;1;0;33;4;;;;0;8;1;0;1;1;;;;;;;4;196;3;;;;1;34;1
0;4;1;;;;0;496;9;0;4;1;1;144;5;treatment;33;494;13;;;;1;123;1;0;88;12;;;;;;;0;0;1;;;;;;;1;668;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;0;384;13;;;;3;138;9;control;73;312;26;0;277;1;0;75;9;1;178;20;;;;;;;;;;0;0;1;;;;4;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;7;3;0;6;2;0;103;4;treatment;67;340;29;;;;;;;0;354;48;;;;;;;;;;;;;;;;5;152;2;;;;;;
;;;;;;0;170;4;;;;0;69;1;control;18;67;2;0;118;1;;;;0;64;7;;;;;;;;;;0;0;1;;;;6;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;97;8;;;;2;669;4;treatment;7;189;3;;;;0;59;5;0;111;13;;;;;;;0;1;2;;;;;;;0;86;3;;;;;;
;;;2;69;1;1;379;26;;;;2;307;10;control;196;1172;61;0;0;1;0;22;4;9;196;42;;;;;;;0;50;1;;;;;;;14;166;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;118;8;4;21;5;4;337;11;treatment;233;975;79;0;0;1;0;12;2;1;638;44;;;;0;121;1;0;14;1;0;13;1;;;;10;144;4;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;158;1;;;;0;370;1;control;99;791;4;0;0;1;0;15;4;0;129;15;;;;;;;;;;;;;;;;4;48;3;;;;;;
;;;;;;0;245;4;;;;1;74;2;treatment;15;219;10;0;0;1;;;;1;122;9;;;;;;;;;;;;;;;;0;286;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;0;267;5;;;;9;127;2;control;15;143;7;;;;1;28;2;0;67;11;;;;;;;;;;;;;;;;4;191;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;59;2;;;;0;153;2;treatment;9;57;1;;;;3;172;10;0;32;13;;;;;;;1;58;5;;;;0;2;1;0;78;3;;;;;;
;;;;;;0;447;13;;;;2;502;6;control;6;228;3;0;248;1;0;491;9;0;32;8;;;;;;;;;;0;0;1;;;;6;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;43;3;1;78;5;4;775;6;treatment;16;182;29;0;110;1;0;29;10;0;156;21;;;;;;;0;0;1;0;0;1;;;;2;0;1;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16;269;7;;;;0;133;3;control;17;97;28;;;;2;171;11;0;114;8;;;;0;234;5;1;102;4;;;;;;;5;88;3;;;;;;
;;;;;;0;89;6;;;;1;18;2;treatment;1;104;7;0;0;1;0;3;1;0;72;5;;;;;;;;;;;;;;;;4;147;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;50;5;;;;4;284;4;control;47;269;9;;;;0;15;1;0;9;5;;;;;;;0;2;1;;;;;;;4;70;3;;;;;;
;;;;;;3;190;6;0;3;1;0;46;5;treatment;16;110;4;0;81;1;;;;0;125;8;;;;;;;0;24;1;;;;;;;0;6;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;57;2;;;;4;169;1;control;41;119;2;0;56;2;0;9;2;1;45;5;;;;;;;0;1;2;;;;;;;4;0;1;;;;;;
;;;;;;0;163;7;;;;2;83;7;treatment;59;163;3;0;205;2;0;16;2;0;127;18;;;;;;;0;11;1;;;;;;;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;0;279;8;;;;0;107;7;control;133;809;82;;;;1;210;13;0;275;33;;;;;;;;;;0;0;1;;;;4;216;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;38;1;2;18;1;0;70;7;treatment;64;579;97;0;544;1;0;55;5;0;110;29;;;;;;;;;;0;0;1;;;;0;5;6;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;68;8;;;;8;536;2;control;156;607;87;0;67;1;0;10;4;0;41;46;;;;;;;;;;;;;;;;7;0;1;;;;;;
;;;;;;0;74;4;;;;2;63;2;treatment;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;89;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;0;457;3;;;;1;75;2;control;30;185;5;0;102;1;2;82;1;0;10;3;;;;;;;0;19;1;;;;;;;5;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;155;1;1;7;1;3;378;3;treatment;12;123;3;0;54;2;;;;0;234;7;;;;;;;0;35;3;;;;;;;2;0;1;;;;;;
;;;;;;0;235;4;;;;1;42;1;control;7;65;13;0;114;2;2;70;1;0;52;4;;;;;;;;;;;;;;;;6;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;234;7;;;;2;857;2;treatment;72;891;31;0;0;1;0;0;1;0;497;28;;;;;;;1;73;4;;;;;;;1;202;6;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;607;5;;;;12;986;5;control;122;293;10;0;63;2;0;56;6;0;9;26;;;;;;;0;64;5;0;0;1;;;;6;0;1;;;;;;
;;;;;;0;633;6;;;;0;70;5;treatment;25;201;14;0;387;2;0;6;1;0;171;16;;;;;;;0;6;1;0;1;1;;;;1;0;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;325;7;;;;5;466;5;control;74;297;12;0;0;1;0;25;5;0;25;6;;;;;;;0;1;1;;;;;;;4;53;2;;;;;;
;;;;;;0;821;11;1;48;1;5;642;21;treatment;12;72;4;0;142;1;0;98;10;0;43;3;;;;;;;0;49;3;;;;;;;0;2;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;0;570;6;;;;22;1231;6;control;92;1133;25;;;;;;;0;38;8;;;;;;;;;;0;3;1;;;;6;79;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;16;1;0;142;4;0;11;1;4;439;8;treatment;144;726;54;0;57;1;;;;0;169;15;;;;;;;0;25;1;;;;;;;0;6;3;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;353;5;;;;4;589;10;control;6;17;3;1;37;1;0;190;13;0;24;6;;;;2;121;3;0;8;3;0;0;3;0;43;1;5;176;4;;;;;;
;;;;;;0;132;4;;;;1;77;4;treatment;8;124;4;;;;0;13;2;0;83;11;;;;;;;0;72;3;;;;;;;0;130;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
